age,income,credit_score,loan_amount,loan_term_months,employment_years,debt_to_income_ratio,previous_defaults,number_of_open_accounts,loan_purpose,defaulted
34,27983.1,472,5056.168866889747,24,1.5321214358968853,0.18907144083508087,0,3,small_business,1
43,41654.85,392,2850.2581347772575,36,1.784566143553832,0.38800597777966606,2,2,home_improvement,0
29,42037.06,528,10395.636378443269,36,0.265044212160879,0.6155808494615782,0,1,home_improvement,1
27,33119.7,500,2271.4018203751525,12,4.243603412245518,0.43275132696550395,0,1,auto,0
25,43854.08,434,3374.1144633333984,24,0.46760791142300645,0.5640861463329309,0,1,auto,1
25,36800.76,562,1321.9533164308575,12,1.7634210360539417,0.3334284579129482,1,1,small_business,0
49,33838.53,528,1490.2110756663485,12,5.194421322452662,0.297486718749171,0,1,home_improvement,0
47,32076.42,528,3528.0093853211197,24,7.019770183984164,0.5646088924445004,1,1,auto,0
50,33738.39,480,7100.465274431452,48,7.430174493507772,0.5593061670142717,1,1,education,1
35,32020.69,454,1581.4479244655156,12,0.3825912470004333,0.4508556971149975,0,1,auto,1
29,33994.78,492,7544.579857578223,20,7.433737306205332,0.5058858423627847,0,2,auto,0
24,27153.92,492,692.6061954961132,6,0.4511044302427594,0.40665073978559546,0,1,home_improvement,0
30,35860.41,360,2443.8306802894626,12,1.8278067679316126,0.5598947700027165,2,2,auto,0
43,27627.42,470,4655.634715773066,28,1.7757642869703014,0.49665519916509865,0,1,auto,1
34,46352.17,594,1467.2684463449737,24,7.848814573952323,0.5299780074510227,2,2,auto,0
50,49591.45,660,2823.3744158342447,12,7.944531570522296,0.6205287062309632,0,1,auto,0
40,36109.28,516,1676.6705648478448,15,1.8215213575409752,0.5652812488174143,3,1,home_improvement,0
34,30988.87,524,1625.2684573804252,24,3.9906830872051113,0.599515835106063,2,2,auto,1
25,34165.73,432,5563.7832232266965,48,3.7665738992897206,0.5826493720632352,0,1,auto,0
30,64745.58,492,2796.4989652080953,9,0.0,0.3188402082947539,2,1,home_improvement,0
23,21812.65,482,5379.372142899226,30,1.4861820611716725,0.5303722437732662,0,2,small_business,1
28,39001.65,486,2078.1283813761456,18,1.9041723085043127,0.5571291902056282,3,2,home_improvement,0
28,29789.3,530,3380.8233069947682,24,8.38755847642268,0.5871151882328569,0,1,home_improvement,0
47,49503.13,608,1349.2979153325393,9,7.443261241752733,0.304773003913581,0,1,home_improvement,0
28,32935.78,472,1559.278426348391,6,5.75738128979312,0.17446000383950327,1,2,small_business,0
30,41235.85,504,3016.457459568371,27,0.3667567790735936,0.5271357157393318,0,1,small_business,0
30,50004.85,500,2535.604432636226,6,0.4113447037630171,0.6133823617651444,0,1,home_improvement,0
31,45965.31,496,3350.5047826032446,30,1.9318098360851792,0.619940973439579,2,1,home_improvement,0
47,34472.01,608,1705.7701241179007,18,3.528598043431994,0.5366009238534231,0,1,home_improvement,0
40,66870.49,386,2631.1805980903296,27,9.78545745692253,0.5617010708044669,2,4,small_business,0
24,35669.25,478,2173.977331700291,18,2.107663514398394,0.6071848133143156,2,2,home_improvement,0
29,41307.43,488,3291.0915255978725,28,7.652479865367702,0.5730205179453802,3,2,home_improvement,0
46,40477.73,532,1371.472337075399,12,10.27287102136859,0.1882920703754033,0,2,auto,1
19,33520.86,554,1885.4233182214944,9,3.964041005180732,0.58471590987676,0,1,home_improvement,1
41,45689.87,448,1737.4951420125212,18,1.4969398441942317,0.5225840710910562,0,1,home_improvement,1
21,43451.57,486,12670.170170927488,24,1.8332071794236855,0.17928094254314114,0,2,auto,1
25,57736.47,350,8786.390954283523,36,1.8918717470343052,0.45892082420028835,3,2,education,1
36,40183.85,532,3392.6894222913043,24,5.926587442835488,0.4431360927654431,2,1,home_improvement,0
28,25895.89,356,2150.8177318257162,13,0.40957299545555836,0.4504438727243405,2,2,small_business,0
21,17263.4,486,1625.1698363791816,6,0.0,0.18859769712871707,1,1,auto,0
29,28313.9,418,2499.5706703407454,12,1.519157319981658,0.5160319866738324,0,1,home_improvement,1
27,71475.09,440,2077.064671741431,24,0.0,0.5777585149255786,0,1,home_improvement,1
61,51472.98,694,1635.2209505363378,6,1.5685299742246162,0.20308528123396002,1,1,home_improvement,0
30,39383.09,422,3117.0415264250673,36,6.194361040473417,0.5810974607785314,0,1,home_improvement,1
44,31276.03,650,1440.8067827451978,10,7.940255048658845,0.5888969250202244,0,1,auto,0
31,44590.05,506,7861.663711643241,42,0.3795098510589954,0.2937414750394744,0,2,small_business,0
19,42720.68,424,2927.0190526523847,18,1.819648101256506,0.3075132045191983,0,1,home_improvement,1
30,26740.6,514,1367.2492660582077,9,7.808084703619351,0.5461622540886497,2,2,education,1
28,39846.98,486,2759.3232562590088,18,0.35556256857022056,0.42335895955397873,1,2,auto,1
43,27959.93,392,7289.577625146265,48,6.847208121845336,0.5402178761449138,2,2,auto,1
75,56118.32,440,7629.455699679997,24,0.0,0.3243631184822018,3,2,auto,0
33,17760.43,488,2226.4974275895793,24,3.9876598723626038,0.5824271253146869,0,1,education,1
28,44299.22,496,3516.37586274671,48,4.134838049479963,0.592960160590864,1,2,home_improvement,1
28,42498.94,500,1098.6633497373105,9,2.0027626572962647,0.6274237846233106,1,1,home_improvement,1
35,44573.68,554,2468.6067469425498,18,1.6915449723790912,0.5688278182797197,1,1,home_improvement,1
41,47854.63,496,1347.7045683221438,6,7.2062552112748515,0.45063956103004726,1,1,auto,0
36,44622.33,642,1116.5424604479965,36,6.923034931991706,0.5690431133236981,1,1,auto,0
18,27810.68,548,2208.753166969572,9,0.3436613064404713,0.2802543628216979,0,2,home_improvement,1
26,40529.34,502,6097.663697282941,27,4.559445882583371,0.4078757041474899,1,2,small_business,0
29,27161.39,568,2494.500185176595,6,3.7346823813000007,0.3219141136115462,0,1,home_improvement,0
35,63222.92,492,2941.720107005872,12,4.039352048712422,0.42526003898908304,3,1,auto,0
26,27598.51,434,1312.8538869473966,12,1.6193503454593858,0.5607317145840715,0,1,auto,0
45,73571.83,630,9900.591336348602,39,8.203177700328144,0.5112874748046581,0,1,auto,0
24,27497.14,490,1592.1042315893371,24,0.43005356512312753,0.445605042805571,0,1,auto,1
37,45361.85,374,724.12679308306,6,4.218299883482851,0.5518844749462518,2,2,auto,0
32,30175.49,504,1591.6731372001411,18,9.436604497814137,0.56928277808984,0,1,home_improvement,0
27,42567.88,434,410.07534064170846,6,0.26955946007935194,0.5694795891757178,0,1,home_improvement,0
28,35341.28,506,2562.116130140669,18,1.7014420846610723,0.5040551692744379,2,1,small_business,1
28,25615.59,628,1382.8811669002628,12,2.038822638026822,0.602233229179431,0,1,home_improvement,1
38,75404.12,460,4955.485854211875,30,1.485251908678016,0.5169764012997641,0,1,auto,0
32,43866.03,640,2666.0003237635406,24,7.331339975519202,0.42916779978789965,0,2,home_improvement,1
23,32860.79,350,1342.5130192196566,9,1.892831505116366,0.5459123450203136,2,2,home_improvement,0
22,36918.46,528,3673.4336963146493,12,1.8127041771058916,0.4664557928800105,0,1,home_improvement,0
38,45952.49,492,2964.2706933879354,30,7.454464774377439,0.5664609039831691,2,2,small_business,0
